Country Name,Year,Literacy Rate,,,,,,
South Asia (IDA & IBRD),2012,68.52999878,,,,,,
IDA blend,2012,62.61999893,,,,,,
IDA only,2012,60.84999847,,,,,,
Pakistan,2012,56.75999832,,,,,,
Europe & Central Asia (IDA & IBRD countries),2012,98.83999634,,,,,,
Haiti,2012,73.95333489,,,,,,
Early-demographic dividend,2012,76.02999878,,,,,,
Pre-demographic dividend,2012,59.79000092,,,,,,
Late-demographic dividend,2012,95.23999786,,,,,,
Heavily indebted poor countries (HIPC),2012,58.66999817,,,,,,
Small states,2012,84.69999695,,,,,,
East Asia & Pacific,2012,94.54000092,,,,,,
Africa Western and Central,2012,53,,,,,,
Paraguay,2012,94.19999695,,,,,,
Honduras,2012,85.36000061,,,,,,
World,2012,84.91000366,,,,,,
Sub-Saharan Africa,2012,62.24000168,,,,,,
Guatemala,2012,78.26000214,,,,,,
Europe & Central Asia (excluding high income),2012,98.12999725,,,,,,
Low income,2012,57.97999954,,,,,,
West Bank and Gaza,2012,95.66999817,,,,,,
Qatar,2012,96.68000031,,,,,,
Low & middle income,2012,82.19000244,,,,,,
Rwanda,2012,68.33000183,,,,,,
Europe & Central Asia,2012,98.12000275,,,,,,
South Africa,2012,93.73000336,,,,,,
South Asia,2012,68.52999878,,,,,,
Fragile and conflict affected situations,2012,64.81999969,,,,,,
Africa Eastern and Southern,2012,68.51999664,,,,,,
El Salvador,2012,85.46245599,,,,,,
Ecuador,2012,92.05999756,,,,,,
Singapore,2012,96.37000275,,,,,,
Spain,2012,97.88999939,,,,,,
Lower middle income,2012,70.72000122,,,,,,
"Egypt, Arab Rep.",2012,73.87000275,,,,,,
Sub-Saharan Africa (excluding high income),2012,62.22999954,,,,,,
Sao Tome and Principe,2012,90.13999939,,,,,,
Mexico,2012,94.23000336,,,,,,
Peru,2012,93.83999634,,,,,,
IDA & IBRD total,2012,82.41000366,,,,,,
Suriname,2012,92.87000275,,,,,,
IBRD only,2012,87.80000305,,,,,,
Cuba,2012,99.66999817,,,,,,
"Venezuela, RB",2012,95.98718899,,,,,,
Cabo Verde,2012,85.33000183,,,,,,
East Asia & Pacific (IDA & IBRD countries),2012,94.79000092,,,,,,
East Asia & Pacific (excluding high income),2012,94.86000061,,,,,,
